Title,Company,Location,Stipend,Duration,Source,Link
Human Resources (HR),Nawab Khan Foundation,Mumbai,"₹ 2,500 - 5,000 /month",6 Months,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-mumbai-at-nawab-khan-foundation1783500588
Mechatronics,AUTOMAZE INNOVATIONS LLP,Surat,"₹ 8,000 - 12,000 /month",6 Months,Internshala,https://internshala.com/internship/detail/mechatronics-internship-in-surat-at-automaze-innovations-llp1780057344
Sales,Worldotech,Mohali,"₹ 20,000 - 40,000 /month",3 Months,Internshala,https://internshala.com/internship/detail/sales-internship-in-mohali-at-teya-verma1782714168
Video Editing/Making,EMIAC Technologies,Jaipur,"₹ 5,000 - 10,000 /month",4 Months,Internshala,https://internshala.com/internship/detail/video-editing-making-internship-in-jaipur-at-emiac-technologies1782969004
Digital Marketing,Operon Biotech And Healthcare,Bangalore,"₹ 11,000 - 12,000 /month",6 Months,Internshala,https://internshala.com/internship/detail/digital-marketing-internship-in-bangalore-at-operon-biotech-and-healthcare1783336859
Corporate Sales (Female),Gangamani Fashions (Art & Crafts),Work from home,"₹ 4,000 - 7,500 /month",4 Months,Internshala,https://internshala.com/internship/detail/work-from-home-corporate-sales-internship-at-gangamani-fashions-art-crafts1783494722
Python Development,Basti Ki Pathshala Foundation,Work from home,Unpaid,1 Month,Internshala,https://internshala.com/internship/detail/work-from-home-python-development-internship-at-basti-ki-pathshala-foundation1783512651
Artificial Intelligence (AI),Basti Ki Pathshala Foundation,Work from home,Unpaid,1 Month,Internshala,https://internshala.com/internship/detail/work-from-home-artificial-intelligence-ai-internship-at-basti-ki-pathshala-foundation1783512629
Fundraising,Basti Ki Pathshala Foundation,Work from home,"₹ 1,501 - 15,001 lump sum",1 Month,Internshala,https://internshala.com/internship/detail/work-from-home-part-time-fundraising-internship-at-basti-ki-pathshala-foundation1783510989
Fundraising,Pawzz Foundation,Work from home,"₹ 1,500 - 15,000 lump sum",4 Weeks,Internshala,https://internshala.com/internship/detail/work-from-home-part-time-fundraising-internship-at-pawzz-foundation1783507473
Business Development (Sales),The Spryte Platform,Bangalore,"₹ 12,000 - 15,000 /month",2 Months,Internshala,https://internshala.com/internship/detail/business-development-sales-internship-in-bangalore-at-the-spryte-platform1783497934
Human Resources (HR),GLS Group,Bilaspur,"₹ 5,000 - 7,000 /month",3 Months,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-bilaspur-at-gls-group1783514581
Video Editing/Making,Zypp Electric,Gurgaon,"₹ 3,000 - 5,000 /month",3 Months,Internshala,https://internshala.com/internship/detail/video-editing-making-internship-in-gurgaon-at-zypp-electric1783503895
Mechanical Engineering,Spacewood Furnishers Private Limited,Nagpur,"₹ 16,500 - 20,500 /month",1 Month,Internshala,https://internshala.com/internship/detail/mechanical-engineering-internship-in-nagpur-at-spacewood-furnishers-private-limited1783502566
Corporate Sales,Aditya Birla Fashion & Retail Limited (ABFRL),"Delhi, Hyderabad, Mumbai, Bangalore","₹ 12,000 - 13,500 /month",6 Months,Internshala,https://internshala.com/internship/detail/corporate-sales-internship-in-multiple-locations-at-aditya-birla-fashion-retail-limited-abfrl1783488728
Human Resources (HR),Team Management Services (TMS),"Thane, Dombivli, Kalyan, Mumbai, Sion Koliwada, Kurla","₹ 7,000 - 10,000 /month",6 Months,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-multiple-locations-at-team-management-services-tms1783331603
Social Media Marketing - Motorsports,Sportskeeda,Work from home,"₹ 6,000 - 8,000 /month",6 Months,Internshala,https://internshala.com/internship/detail/work-from-home-social-media-marketing-motorsports-internship-at-sportskeeda1783336978
Telemarketing Cum Admin Executive,T.I.M.E.,"Bhandara, Yavatmal, Amravati, Chandrapur, Wardha, Gondia, Nagpur","₹ 5,000 - 6,000 /month",6 Months,Internshala,https://internshala.com/internship/detail/part-time-telemarketing-cum-admin-executive-internship-in-multiple-locations-at-time1783079470
UGC Content Creator,Unacademy,Bangalore,"₹ 2,000 - 20,000 /month",1 Month,Internshala,https://internshala.com/internship/detail/ugc-content-creator-internship-in-bangalore-at-unacademy1783065129
Sales and Marketing,The Digital Group Infotech Private Lmited,Pune,"₹ 10,000 - 12,500 /month",3 Months,Internshala,https://internshala.com/internship/detail/sales-and-marketing-internship-in-pune-at-the-digital-group-infotech-private-lmited1782995109
Commuity Outreach,Team Computers Private Limited,Delhi,"₹ 5,000 - 8,000 /month",4 Months,Internshala,https://internshala.com/internship/detail/commuity-outreach-internship-in-delhi-at-team-computers-private-limited1782995742
AI Chatbot Development And Integration,TDK India Private Limited,Kolkata,"₹ 10,000 - 35,000 /month",6 Months,Internshala,https://internshala.com/internship/detail/ai-chatbot-development-and-integration-internship-in-kolkata-at-tdk-india-private-limited1782988389
Business Development (Sales),NowFloats Technologies Private Limited,Noida,"₹ 10,000 - 10,001 /month",3 Months,Internshala,https://internshala.com/internship/detail/business-development-sales-internship-in-noida-at-nowfloats-technologies-private-limited1782898952
Employer Branding & Communication Internship,Kaya,Mumbai,"₹ 8,000 - 10,000 /month",3 Months,Internshala,https://internshala.com/internship/detail/employer-branding-communication-internship-internship-in-mumbai-at-kaya1782892891
Talent Acquisition,FundsInida,Bangalore,"₹ 10,000 - 15,000 /month",6 Months,Internshala,https://internshala.com/internship/detail/talent-acquisition-internship-in-bangalore-at-fundsinida1782889654
Sales,Muthoot Homefin India Limited,"Kottayam, Kozhikode, Thiruvananthapuram, Thrissur, Alappuzha, Kochi","₹ 14,000 /month",6 Months,Internshala,https://internshala.com/internship/detail/sales-internship-in-multiple-locations-at-muthoot-homefin-india-limited1782896878
Presales/Sales,Piramal Capital & Housing Finance Limited,Mumbai,"₹ 15,000 /month",2 Months,Internshala,https://internshala.com/internship/detail/part-time-presales-sales-internship-in-mumbai-at-piramal-capital-housing-finance-limited1782885675
Helpdesk,Team Computers Private Limited,Delhi,"₹ 5,000 - 8,000 /month",3 Months,Internshala,https://internshala.com/internship/detail/helpdesk-internship-in-delhi-at-team-computers-private-limited1782824453
Sales,Vascon Engineers Limited,Mumbai,"₹ 10,000 - 10,001 /month",6 Months,Internshala,https://internshala.com/internship/detail/sales-internship-in-mumbai-at-vascon-engineers-limited1782545836
Marketing,Apidel Technologies,Vadodara,"₹ 4,500 - 6,000 /month",6 Months,Internshala,https://internshala.com/internship/detail/part-time-marketing-internship-in-vadodara-at-apidel-technologies1782473288
Graphic Design,Purplle,Mumbai,"₹ 15,000 - 20,000 /month",6 Months,Internshala,https://internshala.com/internship/detail/graphic-design-internship-in-mumbai-at-purplle1782390366
Sales and Marketing,Aditya Birla Fashion & Retail Limited (ABFRL),Bangalore,"₹ 3,000 - 5,000 /month",2 Months,Internshala,https://internshala.com/internship/detail/sales-and-marketing-internship-in-bangalore-at-aditya-birla-fashion-retail-limited-abfrl1782364990
Recruitment,Barbeque Nation Hospitality Limited,Bangalore,"₹ 10,000 - 12,000 /month",6 Months,Internshala,https://internshala.com/internship/detail/recruitment-internship-in-bangalore-at-barbeque-nation-hospitality-limited1782278350
Social Media Marketing,Sportskeeda,Work from home,"₹ 8,000 - 10,000 /month",6 Months,Internshala,https://internshala.com/internship/detail/work-from-home-social-media-marketing-internship-at-sportskeeda1782216100
Business Development (Sales),Generali Central Life Insurance Company Limited,Lucknow,"₹ 15,000 - 25,000 /month",2 Months,Internshala,https://internshala.com/internship/detail/business-development-sales-internship-in-lucknow-at-generali-central-life-insurance-company-limited1782194059
